# r(kpc)                A2_0                    zh2                    phase2   A4_0                    zh4                    phase4   A6_0                     zh6                    phase6  
  1.6300000000000001    0.028303830663597988    0.7835000000000001     0.0      0.0043330735283627145   0.7585000000000001     0.0      0.0011706870642079763    0.7835000000000001     0.0     
  1.6400000000000001    0.02833147402987403     0.7880000000000001     0.0      0.004374498907680947    0.7630000000000001     0.0      0.0011893256001818504    0.7880000000000001     0.0     
  1.6500000000000001    0.028358189182267183    0.7925000000000001     0.0      0.004415773759447729    0.7675000000000001     0.0      0.0012080211641500346    0.7925000000000001     0.0     
  1.6600000000000001    0.028383983485232304    0.7970000000000002     0.0      0.004456892500347891    0.7720000000000001     0.0      0.0012267698761140352    0.7970000000000002     0.0     
  1.67                  0.028408864244600464    0.8015                 0.0      0.004497849609696429    0.7765                 0.0      0.0012455678384070902    0.8015                 0.0     
  1.68                  0.028432838708386008    0.806                  0.0      0.0045386396300064495   0.781                  0.0      0.0012644111373269586    0.806                  0.0     
  1.69                  0.028455914067575725    0.8105                 0.0      0.004579257167532044    0.7855                 0.0      0.0012832958447599506    0.8105                 0.0     
  1.7                   0.028478097456900563    0.8150000000000001     0.0      0.0046196968927864224   0.79                   0.0      0.0013022180197954734    0.8150000000000001     0.0     
  1.71                  0.02849939595559034     0.8195                 0.0      0.004659953541035687    0.7945                 0.0      0.0013211737103304034    0.8195                 0.0     
  1.72                  0.028519816588112104    0.8240000000000001     0.0      0.004700021912768686    0.799                  0.0      0.001340158954662619     0.8240000000000001     0.0     
  1.73                  0.028539366324892405    0.8285                 0.0      0.004739896874143163    0.8035                 0.0      0.00135916978307301      0.8285                 0.0     
  1.74                  0.028558052083024036    0.8330000000000001     0.0      0.004779573357408751    0.808                  0.0      0.0013782022193953624    0.8330000000000001     0.0     
  1.75                  0.028575880726957742    0.8375                 0.0      0.0048190463613070325   0.8125                 0.0      0.0013972522825734766    0.8375                 0.0     
  1.76                  0.028592859069179168    0.8420000000000001     0.0      0.004858310951449095    0.8170000000000001     0.0      0.0014163159882049302    0.8420000000000001     0.0     
  1.77                  0.02860899387087164     0.8465                 0.0      0.0048973622606709325   0.8215                 0.0      0.0014353893500709152    0.8465                 0.0     
  1.78                  0.028624291842564917    0.8510000000000001     0.0      0.004936195489367003    0.8260000000000001     0.0      0.00145446838165156      0.8510000000000001     0.0     
  1.79                  0.02863875964477067     0.8555                 0.0      0.004974805905802373    0.8305                 0.0      0.001473549097626239     0.8555                 0.0     
  1.8                   0.028652403888604672    0.8600000000000001     0.0      0.005013188846403726    0.8350000000000001     0.0      0.0014926275153583084    0.8600000000000001     0.0     
  1.81                  0.028665231136396258    0.8645                 0.0      0.005051339716029588    0.8395                 0.0      0.0015116996563637806    0.8645                 0.0     
  1.82                  0.028677247902285423    0.8690000000000001     0.0      0.005089253988220155    0.8440000000000001     0.0      0.0015307615477634464    0.8690000000000001     0.0     
  1.83                  0.02868846065280776     0.8735                 0.0      0.005126927205427005    0.8485                 0.0      0.001549809223717976     0.8735                 0.0     
  1.84                  0.028698875807467723    0.8780000000000001     0.0      0.005164354979223111    0.8530000000000001     0.0      0.0015688387268455734    0.8780000000000001     0.0     
  1.85                  0.028708499739300352    0.8825000000000001     0.0      0.005201532990493355    0.8575                 0.0      0.0015878461096216912    0.8825000000000001     0.0     
  1.86                  0.028717338775421933    0.8870000000000001     0.0      0.005238456989606033    0.8620000000000001     0.0      0.0016068274357604656    0.8870000000000001     0.0     
  1.87                  0.02872539919756973     0.8915000000000001     0.0      0.005275122796565541    0.8665                 0.0      0.0016257787815774159    0.8915000000000001     0.0     
  1.8800000000000001    0.028732687242631207    0.8960000000000001     0.0      0.0053115263011466384   0.8710000000000001     0.0      0.0016446962373330533    0.8960000000000001     0.0     
  1.8900000000000001    0.028739209103162928    0.9005000000000001     0.0      0.005347663463010618    0.8755000000000001     0.0      0.0016635759085570489    0.9005000000000001     0.0     
  1.9000000000000001    0.028744970927899384    0.9050000000000001     0.0      0.005383530311803615    0.8800000000000001     0.0      0.0016824139173525665    0.9050000000000001     0.0     
